work_id,work_category_recommended,state_recommended,ida_recommended,hon_ble_members_of_parliament_recommended,constituency_recommended,work_description_recommended,recommended_date_recommended,recommended_amount_recommended,sanction_date_recommended,work_category_sanctioned,state_sanctioned,ida_sanctioned,hon_ble_members_of_parliament_sanctioned,constituency_sanctioned,work_description_sanctioned,recommended_date_sanctioned,sanction_date_sanctioned,sanction_amount_sanctioned,work_status_sanctioned,work_category_completed,state_completed,ida_completed,work_description_completed,hon_ble_members_of_parliament_completed,constituency_completed,image_completed,completion_date_completed,amount_disbursed_completed,has_recommended_record,has_sanctioned_record,has_completed_record,total_paid,payment_count,first_payment_date,last_payment_date,has_payment_record,work_description,state,ida,constituency
WS/MP18110/2024-2025/167291,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,"Purchase of IT systems, including hardware and software for educational purposes",2025-01-21,1000000.0,2025-02-10,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,"Purchase of IT systems, including hardware and software for educational purposes",2025-01-21,2025-02-10,1000000.0,Work Completed,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),"Purchase of IT systems, including hardware and software for educational purposes",NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2025-06-10,974340,True,True,True,974340,1.0,2025-06-10,2025-06-10,True,"Purchase of IT systems, including hardware and software for educational purposes",Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209772,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers and community halls at Hanga in GP property No 1045 Tal Parner,2025-06-17,4776925.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers and community halls at Hanga in GP property No 1045 Tal Parner,2025-06-17,2025-07-24,4776925.0,Physical Inspection,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),Construction of a community centers and community halls at Hanga in GP property No 1045 Tal Parner,NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2025-12-30,4776925,True,True,True,4776925,1.0,2026-01-01,2026-01-01,True,Construction of a community centers and community halls at Hanga in GP property No 1045 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209773,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers and community halls at Shirapur in front of Datta Mandir GP property No 4125 Tal Parner,2025-06-17,1000000.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers and community halls at Shirapur in front of Datta Mandir GP property No 4125 Tal Parner,2025-06-17,2025-07-24,1000000.0,Physical Inspection,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),Construction of a community centers and community halls at Shirapur in front of Datta Mandir GP property No 4125 Tal Parner,NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2025-10-17,1000000,True,True,True,1000000,1.0,2025-10-17,2025-10-17,True,Construction of a community centers and community halls at Shirapur in front of Datta Mandir GP property No 4125 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209774,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers and community halls at Shirapur in front of Kanifnath Mandir GP property No 546 Tal Parner,2025-06-17,1000000.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers and community halls at Shirapur in front of Kanifnath Mandir GP property No 546 Tal Parner,2025-06-17,2025-07-24,1000000.0,Physical Inspection,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),Construction of a community centers and community halls at Shirapur in front of Kanifnath Mandir GP property No 546 Tal Parner,NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2026-01-09,1000000,True,True,True,1000000,1.0,2026-01-09,2026-01-09,True,Construction of a community centers and community halls at Shirapur in front of Kanifnath Mandir GP property No 546 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209775,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Nighoj (Morwadi) in front of Savta Maharaj Mandir GP property No 1507 Tal Parner,2025-06-17,700000.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Nighoj (Morwadi) in front of Savta Maharaj Mandir GP property No 1507 Tal Parner,2025-06-17,2025-07-24,700000.0,Physical Inspection,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),Construction of a community centers   and community halls at Nighoj (Morwadi) in front of Savta Maharaj Mandir GP property No 1507 Tal Parner,NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2025-10-17,700000,True,True,True,700000,1.0,2025-10-17,2025-10-17,True,Construction of a community centers   and community halls at Nighoj (Morwadi) in front of Savta Maharaj Mandir GP property No 1507 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209776,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Development of playfields and sport ground GP property No 4485 Tal Parner,2025-06-17,1493825.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Development of playfields and sport ground GP property No 4485 Tal Parner,2025-06-17,2025-07-24,1493825.0,Physical Inspection,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),Development of playfields and sport ground GP property No 4485 Tal Parner,NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2025-12-12,1493825,True,True,True,1493825,1.0,2025-12-19,2025-12-19,True,Development of playfields and sport ground GP property No 4485 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209777,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Khadakwadi in front of Sharanpuri Maharaj Mandir GP property No 82 Tal Parner,2025-06-17,1474746.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Khadakwadi in front of Sharanpuri Maharaj Mandir GP property No 82 Tal Parner,2025-06-17,2025-07-24,1474746.0,Physical Inspection,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),Construction of a community centers   and community halls at Khadakwadi in front of Sharanpuri Maharaj Mandir GP property No 82 Tal Parner,NILESH DNYANDEV LANKE,AHMEDNAGAR,Images,2026-04-06,1474746,True,True,True,1474746,1.0,2026-04-07,2026-04-07,True,Construction of a community centers   and community halls at Khadakwadi in front of Sharanpuri Maharaj Mandir GP property No 82 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209778,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Kinhi (Bahirobawadi) in GP property No 173 2 Tal Parner,2025-06-17,1500000.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Kinhi (Bahirobawadi) in GP property No 173 2 Tal Parner,2025-06-17,2025-07-24,1500000.0,Sanction,,,,,,,,,,True,True,False,,,,,False,Construction of a community centers   and community halls at Kinhi (Bahirobawadi) in GP property No 173 2 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209779,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Kasare in front of Renukamata Mandir GP property No 67 Tal Parner,2025-06-17,1500000.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Kasare in front of Renukamata Mandir GP property No 67 Tal Parner,2025-06-17,2025-07-24,1500000.0,Sanction,,,,,,,,,,True,True,False,,,,,False,Construction of a community centers   and community halls at Kasare in front of Renukamata Mandir GP property No 67 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
WS/MP18110/2025-2026/209780,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Savargaon in front of Buddha Vihar GP property No 483 Tal Parner,2025-06-17,1500000.0,2025-07-24,Normal/Others,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),NILESH DNYANDEV LANKE,AHMEDNAGAR,Construction of a community centers   and community halls at Savargaon in front of Buddha Vihar GP property No 483 Tal Parner,2025-06-17,2025-07-24,1500000.0,Physical Inspection,,,,,,,,,,True,True,False,1483976,1.0,2026-06-24,2026-06-24,True,Construction of a community centers   and community halls at Savargaon in front of Buddha Vihar GP property No 483 Tal Parner,Maharashtra,Ahilyanagar(DISTRICT COLLECTOR AHMEDNAGAR_IDA),AHMEDNAGAR
