work_id,demo_anonymous_id,work_status,sanctioned_amount_inr,total_paid_inr,payment_count,payment_to_sanction_ratio,project_age_days,days_since_last_payment,payment_progress_score,payment_progress_flag,payment_progress_explanation
WS/MP681/2024-2025/143648,ND-WRK-2228,Vendor Identification,899000.0,893869.0,1,0.994,759.0,551.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 551 days while status is 'Vendor Identification'.
WS/MP18308/2025-2026/145428,ND-WRK-1845,Vendor Identification,1500000.0,1498861.0,1,0.999,609.0,609.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 609 days while status is 'Vendor Identification'.
WS/MP18308/2025-2026/145419,ND-WRK-1838,Vendor Identification,1500000.0,1498862.0,1,0.999,,608.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 608 days while status is 'Vendor Identification'.
WS/MP18308/2025-2026/145418,ND-WRK-1837,Vendor Identification,2000000.0,1998481.0,1,0.999,609.0,578.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 578 days while status is 'Vendor Identification'.
WS/MP18114/2025-2026/166009,ND-WRK-0354,Vendor Identification,1000000.0,990214.0,1,0.99,,514.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 514 days while status is 'Vendor Identification'.
WS/MP18307/2025-2026/180126,ND-WRK-1804,Vendor Identification,1800000.0,1798633.0,1,0.999,,454.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 454 days while status is 'Vendor Identification'.
WS/MP18112/2025-2026/188955,ND-WRK-0203,Vendor Identification,500000.0,494649.0,1,0.989,,576.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 576 days while status is 'Vendor Identification'.
WS/MP681/2024-2025/143649,ND-WRK-2229,Vendor Identification,999000.0,991855.0,1,0.993,759.0,551.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 551 days while status is 'Vendor Identification'.
WS/MP681/2024-2025/134805,ND-WRK-2225,Vendor Identification,999711.0,999711.0,1,1.0,728.0,433.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 433 days while status is 'Vendor Identification'.
WS/MP18118/2025-2026/160495,ND-WRK-0572,Vendor Identification,1000000.0,1000000.0,1,1.0,548.0,548.0,75,True,At least 50% of the sanctioned amount is recorded as paid while the workflow status remains 'Vendor Identification'. No recorded payment for 548 days while status is 'Vendor Identification'.
