work_id,total_paid,payment_count,first_payment_date,last_payment_date
WS/	 MP667/2025-2026/159631,1432750,1,2026-03-10,2026-03-10
WS/	 MP667/2025-2026/160975,3086456,1,2026-03-20,2026-03-20
WS/	 MP667/2025-2026/218308,1000000,1,2026-07-27,2026-07-27
WS/MP18110/2024-2025/167291,974340,1,2025-06-10,2025-06-10
WS/MP18110/2025-2026/209772,4776925,1,2026-01-01,2026-01-01
WS/MP18110/2025-2026/209773,1000000,1,2025-10-17,2025-10-17
WS/MP18110/2025-2026/209774,1000000,1,2026-01-09,2026-01-09
WS/MP18110/2025-2026/209775,700000,1,2025-10-17,2025-10-17
WS/MP18110/2025-2026/209776,1493825,1,2025-12-19,2025-12-19
WS/MP18110/2025-2026/209777,1474746,1,2026-04-07,2026-04-07
WS/MP18110/2025-2026/209780,1483976,1,2026-06-24,2026-06-24
WS/MP18110/2025-2026/209782,995411,1,2026-02-25,2026-02-25
WS/MP18110/2025-2026/209784,971493,1,2026-01-19,2026-01-19
WS/MP18110/2025-2026/209785,999962,1,2026-04-09,2026-04-09
WS/MP18110/2025-2026/209786,990652,1,2026-07-10,2026-07-10
WS/MP18110/2025-2026/242056,968030,1,2026-07-08,2026-07-08
WS/MP18110/2025-2026/242059,1000000,1,2026-02-25,2026-02-25
WS/MP18110/2026-2027/242057,1486985,1,2026-06-24,2026-06-24
WS/MP18110/2026-2027/242058,2500000,1,2026-07-03,2026-07-03
WS/MP18110/2026-2027/248579,993116,1,2026-06-25,2026-06-25
WS/MP18111/2025-2026/144098,396568,1,2025-04-03,2025-04-03
WS/MP18111/2025-2026/144099,483603,1,2025-05-29,2025-05-29
WS/MP18111/2025-2026/177759,968831,2,2025-10-16,2025-11-04
WS/MP18111/2025-2026/177761,985293,1,2026-02-10,2026-02-10
WS/MP18111/2025-2026/177808,985659,2,2025-10-01,2025-10-15
WS/MP18111/2025-2026/177978,971247,1,2025-10-12,2025-10-12
WS/MP18111/2025-2026/187050,979216,2,2026-01-28,2026-02-17
WS/MP18111/2025-2026/187053,988642,1,2025-12-15,2025-12-15
WS/MP18111/2025-2026/187060,972537,1,2025-10-31,2025-10-31
WS/MP18111/2025-2026/187064,987534,1,2026-03-10,2026-03-10
WS/MP18111/2025-2026/187068,987455,1,2026-02-05,2026-02-05
WS/MP18111/2025-2026/187074,990061,1,2025-12-08,2025-12-08
WS/MP18111/2025-2026/187078,986977,1,2025-10-14,2025-10-14
WS/MP18111/2025-2026/187082,983626,1,2025-11-21,2025-11-21
WS/MP18111/2025-2026/187087,986905,1,2025-10-14,2025-10-14
WS/MP18111/2025-2026/187088,986743,1,2025-10-14,2025-10-14
WS/MP18111/2025-2026/187092,978744,2,2026-03-04,2026-06-19
WS/MP18111/2025-2026/187100,988046,2,2025-10-12,2025-10-17
WS/MP18111/2025-2026/187101,970750,1,2025-10-06,2025-10-06
WS/MP18111/2025-2026/187103,984417,1,2026-01-12,2026-01-12
WS/MP18111/2025-2026/187104,987554,2,2025-08-29,2025-09-16
WS/MP18111/2025-2026/187111,987502,2,2025-07-31,2025-08-25
WS/MP18111/2025-2026/187113,986385,1,2025-10-06,2025-10-06
WS/MP18111/2025-2026/187116,986782,1,2026-02-13,2026-02-13
WS/MP18111/2025-2026/187118,984714,1,2026-02-05,2026-02-05
WS/MP18111/2025-2026/187119,981707,1,2025-10-30,2025-10-30
WS/MP18111/2025-2026/187122,976441,2,2025-10-29,2026-03-28
WS/MP18111/2025-2026/187508,985973,1,2025-11-22,2025-11-22
WS/MP18111/2025-2026/187509,958282,2,2025-08-29,2025-10-09
WS/MP18111/2025-2026/187532,970977,1,2025-10-12,2025-10-12
WS/MP18111/2025-2026/187534,987005,1,2025-12-09,2025-12-09
WS/MP18111/2025-2026/187541,992607,1,2025-12-04,2025-12-04
WS/MP18111/2025-2026/187543,992728,1,2025-12-05,2025-12-05
WS/MP18111/2025-2026/188364,287286,2,2025-08-29,2025-10-09
WS/MP18111/2025-2026/194800,873496,1,2025-12-05,2025-12-05
WS/MP18111/2025-2026/194801,900000,1,2025-12-08,2025-12-08
WS/MP18111/2025-2026/194802,950000,1,2025-12-08,2025-12-08
WS/MP18111/2025-2026/194803,992464,1,2025-12-30,2025-12-30
WS/MP18111/2025-2026/194804,994261,1,2026-01-23,2026-01-23
