work_id,demo_anonymous_id,work_type,financial_year,sanctioned_amount_inr,peer_count,peer_median_inr,peer_q1_inr,peer_q3_inr,cost_ratio_to_median,cost_score,cost_flag,cost_explanation
WS/MP691/2024-2025/140096,ND-WRK-2386,Normal/Others,2024-2025,2999928.0,121,999600.0,700000.0,1000000.0,3.0,100.0,True,"Sanctioned amount ₹2,999,928 is 3.00× the peer median ₹999,600 across 121 comparable works."
WS/MP18376/2026-2027/197886,ND-WRK-2010,Normal/Others,2026-2027,3000000.0,683,1000000.0,700000.0,1000000.0,3.0,100.0,True,"Sanctioned amount ₹3,000,000 is 3.00× the peer median ₹1,000,000 across 683 comparable works."
WS/MP672/2026-2027/291742,ND-WRK-2167,Normal/Others,2026-2027,5000000.0,683,1000000.0,700000.0,1000000.0,5.0,100.0,True,"Sanctioned amount ₹5,000,000 is 5.00× the peer median ₹1,000,000 across 683 comparable works."
WS/MP672/2025-2026/256783,ND-WRK-2150,Normal/Others,2025-2026,5000000.0,1573,990000.0,500000.0,1000000.0,5.05,100.0,True,"Sanctioned amount ₹5,000,000 is 5.05× the peer median ₹990,000 across 1573 comparable works."
WS/MP672/2026-2027/227307,ND-WRK-2160,Normal/Others,2026-2027,3000000.0,683,1000000.0,700000.0,1000000.0,3.0,100.0,True,"Sanctioned amount ₹3,000,000 is 3.00× the peer median ₹1,000,000 across 683 comparable works."
WS/MP672/2024-2025/181699,ND-WRK-2141,Normal/Others,2024-2025,4996000.0,121,999600.0,700000.0,1000000.0,5.0,100.0,True,"Sanctioned amount ₹4,996,000 is 5.00× the peer median ₹999,600 across 121 comparable works."
WS/MP672/2025-2026/226219,ND-WRK-2148,Normal/Others,2025-2026,9998850.0,1573,990000.0,500000.0,1000000.0,10.1,100.0,True,"Sanctioned amount ₹9,998,850 is 10.10× the peer median ₹990,000 across 1573 comparable works."
WS/MP18376/2026-2027/197901,ND-WRK-2011,Normal/Others,2026-2027,4000000.0,683,1000000.0,700000.0,1000000.0,4.0,100.0,True,"Sanctioned amount ₹4,000,000 is 4.00× the peer median ₹1,000,000 across 683 comparable works."
WS/MP18376/2026-2027/197851,ND-WRK-2000,Normal/Others,2026-2027,4000000.0,683,1000000.0,700000.0,1000000.0,4.0,100.0,True,"Sanctioned amount ₹4,000,000 is 4.00× the peer median ₹1,000,000 across 683 comparable works."
WS/MP18376/2026-2027/197882,ND-WRK-2008,Normal/Others,2026-2027,4000000.0,683,1000000.0,700000.0,1000000.0,4.0,100.0,True,"Sanctioned amount ₹4,000,000 is 4.00× the peer median ₹1,000,000 across 683 comparable works."
WS/MP18376/2026-2027/197903,ND-WRK-2013,Normal/Others,2026-2027,3000000.0,683,1000000.0,700000.0,1000000.0,3.0,100.0,True,"Sanctioned amount ₹3,000,000 is 3.00× the peer median ₹1,000,000 across 683 comparable works."
WS/MP18120/2025-2026/169210,ND-WRK-0720,Normal/Others,2025-2026,4974167.0,1573,990000.0,500000.0,1000000.0,5.02,100.0,True,"Sanctioned amount ₹4,974,167 is 5.02× the peer median ₹990,000 across 1573 comparable works."
WS/MP18120/2025-2026/169208,ND-WRK-0719,Normal/Others,2025-2026,4978547.0,1573,990000.0,500000.0,1000000.0,5.03,100.0,True,"Sanctioned amount ₹4,978,547 is 5.03× the peer median ₹990,000 across 1573 comparable works."
WS/MP18120/2026-2027/218858,ND-WRK-0770,Normal/Others,2026-2027,2993160.0,683,1000000.0,700000.0,1000000.0,2.99,100.0,True,"Sanctioned amount ₹2,993,160 is 2.99× the peer median ₹1,000,000 across 683 comparable works."
WS/MP18121/2024-2025/146671,ND-WRK-0777,Normal/Others,2024-2025,2945320.0,121,999600.0,700000.0,1000000.0,2.95,100.0,True,"Sanctioned amount ₹2,945,320 is 2.95× the peer median ₹999,600 across 121 comparable works."
WS/MP18120/2025-2026/169206,ND-WRK-0718,Normal/Others,2025-2026,4994258.0,1573,990000.0,500000.0,1000000.0,5.04,100.0,True,"Sanctioned amount ₹4,994,258 is 5.04× the peer median ₹990,000 across 1573 comparable works."
WS/MP18307/2025-2026/143526,ND-WRK-1784,Normal/Others,2025-2026,4500000.0,1573,990000.0,500000.0,1000000.0,4.55,100.0,True,"Sanctioned amount ₹4,500,000 is 4.55× the peer median ₹990,000 across 1573 comparable works."
WS/MP18307/2025-2026/231068,ND-WRK-1824,Normal/Others,2025-2026,4000000.0,1573,990000.0,500000.0,1000000.0,4.04,100.0,True,"Sanctioned amount ₹4,000,000 is 4.04× the peer median ₹990,000 across 1573 comparable works."
WS/MP18308/2025-2026/244680,ND-WRK-1853,Normal/Others,2025-2026,5000000.0,1573,990000.0,500000.0,1000000.0,5.05,100.0,True,"Sanctioned amount ₹5,000,000 is 5.05× the peer median ₹990,000 across 1573 comparable works."
WS/MP18308/2025-2026/145431,ND-WRK-1847,Normal/Others,2025-2026,4000000.0,1573,990000.0,500000.0,1000000.0,4.04,100.0,True,"Sanctioned amount ₹4,000,000 is 4.04× the peer median ₹990,000 across 1573 comparable works."
WS/MP18308/2025-2026/262899,ND-WRK-1875,Normal/Others,2025-2026,4700000.0,1573,990000.0,500000.0,1000000.0,4.75,100.0,True,"Sanctioned amount ₹4,700,000 is 4.75× the peer median ₹990,000 across 1573 comparable works."
WS/MP18361/2025-2026/219017,ND-WRK-1933,Normal/Others,2025-2026,4000000.0,1573,990000.0,500000.0,1000000.0,4.04,100.0,True,"Sanctioned amount ₹4,000,000 is 4.04× the peer median ₹990,000 across 1573 comparable works."
WS/MP18110/2025-2026/209772,ND-WRK-0002,Normal/Others,2025-2026,4776925.0,1573,990000.0,500000.0,1000000.0,4.83,100.0,True,"Sanctioned amount ₹4,776,925 is 4.83× the peer median ₹990,000 across 1573 comparable works."
WS/MP18127/2026-2027/188392,ND-WRK-1200,Normal/Others,2026-2027,2800000.0,683,1000000.0,700000.0,1000000.0,2.8,100.0,True,"Sanctioned amount ₹2,800,000 is 2.80× the peer median ₹1,000,000 across 683 comparable works."
WS/MP18127/2026-2027/253692,ND-WRK-1211,Normal/Others,2026-2027,3000000.0,683,1000000.0,700000.0,1000000.0,3.0,100.0,True,"Sanctioned amount ₹3,000,000 is 3.00× the peer median ₹1,000,000 across 683 comparable works."
