work_id,demo_anonymous_id,work_category,financial_year,sanctioned_amount_inr,semantic_peer_count,average_similarity,peer_median_inr,peer_q1_inr,peer_q3_inr,cost_ratio_to_median,semantic_cost_score,cost_flag,cost_explanation
WS/MP672/2024-2025/181699,ND-WRK-2141,Normal/Others,2024-2025,4996000.0,24,0.721,1000000.0,999768.0,1500000.0,5.0,100.0,True,"Sanctioned amount ₹4,996,000 is 5.00× the median ₹1,000,000 across 24 semantically similar works. Average description similarity: 0.72."
WS/MP672/2026-2027/291742,ND-WRK-2167,Normal/Others,2026-2027,5000000.0,30,0.759,1000000.0,550000.0,1000000.0,5.0,100.0,True,"Sanctioned amount ₹5,000,000 is 5.00× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.76."
WS/MP18120/2025-2026/169206,ND-WRK-0718,Normal/Others,2025-2026,4994258.0,30,0.683,1000000.0,993836.75,1874250.0,4.99,100.0,True,"Sanctioned amount ₹4,994,258 is 4.99× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.68."
WS/MP18120/2025-2026/169208,ND-WRK-0719,Normal/Others,2025-2026,4978547.0,30,0.695,990143.5,500000.0,1000000.0,5.03,100.0,True,"Sanctioned amount ₹4,978,547 is 5.03× the median ₹990,144 across 30 semantically similar works. Average description similarity: 0.69."
WS/MP18120/2025-2026/169210,ND-WRK-0720,Normal/Others,2025-2026,4974167.0,30,0.695,990143.5,500000.0,1000000.0,5.02,100.0,True,"Sanctioned amount ₹4,974,167 is 5.02× the median ₹990,144 across 30 semantically similar works. Average description similarity: 0.69."
WS/MP18120/2025-2026/174636,ND-WRK-0725,Normal/Others,2025-2026,7938332.0,30,0.636,700000.0,594750.0,991910.5,11.34,100.0,True,"Sanctioned amount ₹7,938,332 is 11.34× the median ₹700,000 across 30 semantically similar works. Average description similarity: 0.64."
WS/MP18110/2025-2026/209772,ND-WRK-0002,Normal/Others,2025-2026,4776925.0,30,0.648,1000000.0,699373.0,1500000.0,4.78,100.0,True,"Sanctioned amount ₹4,776,925 is 4.78× the median ₹1,000,000 across 30 semantically similar works. Average description similarity: 0.65."
WS/MP18116/2025-2026/235817,ND-WRK-0480,Normal/Others,2025-2026,1000000.0,19,0.576,240611.0,230305.5,321836.0,4.16,100.0,True,"Sanctioned amount ₹1,000,000 is 4.16× the median ₹240,611 across 19 semantically similar works. Average description similarity: 0.58."
WS/MP18116/2026-2027/230997,ND-WRK-0512,Normal/Others,2026-2027,1500000.0,11,0.617,300000.0,246026.5,1000000.0,5.0,100.0,True,"Sanctioned amount ₹1,500,000 is 5.00× the median ₹300,000 across 11 semantically similar works. Average description similarity: 0.62."
WS/MP18117/2025-2026/164494,ND-WRK-0533,Normal/Others,2025-2026,1000000.0,30,0.572,170000.0,170000.0,220000.0,5.88,100.0,True,"Sanctioned amount ₹1,000,000 is 5.88× the median ₹170,000 across 30 semantically similar works. Average description similarity: 0.57."
WS/MP18134/2025-2026/177379,ND-WRK-1551,Normal/Others,2025-2026,800000.0,30,0.649,170000.0,170000.0,170000.0,4.71,97.06,True,"Sanctioned amount ₹800,000 is 4.71× the median ₹170,000 across 30 semantically similar works. Average description similarity: 0.65."
